noRepeatRounds,maxStreak,violationType,LaTeX,r2,mae,mse,rmse,max_res,ssr
1,1,DRRV, 0.737x^2 -0.964x +0.384,0.9999995022948172,0.33433595191039006,0.15160727479857114,0.38936778859912274,0.7563891304346271,3.6385745951657076
1,1,MSV, 1.001x^2 -1.554x +0.529,0.99999851399887,0.6416916998581087,0.8285364838814028,0.9102397947142296,2.2425558984491545,19.884875613153667
1,1,NRV, 1.001x -0.574,0.9997651890254045,0.1324660869565217,0.04511944664251221,0.21241338621309205,0.7793440579710307,1.082866719420293
2,1,DRRV, 0.736x^2 -0.936x +0.167,0.9999990413327119,0.40992895256920786,0.29185456812908406,0.540235659808832,1.163946482212964,7.004509635098017
2,1,MSV, 0.999x^2 -1.450x -0.382,0.9999991099133585,0.5316352249923347,0.4959694873372746,0.7042510115983325,1.845171848586915,11.90326769609459
2,1,NRV, 2.008x -2.279,0.9999346180094932,0.19190833333333343,0.05050992013888917,0.22474412147793582,0.42893333333330474,1.2122380833333402
3,1,DRRV, 0.735x^2 -0.903x -0.011,0.9999988890101063,0.47201412156686273,0.33814991137304934,0.5815065875577415,1.4650212009730694,8.115597872953185
3,1,MSV, 0.999x^2 -1.456x -0.365,0.9999990630449237,0.5198900699300856,0.5218195466068604,0.7223707819443284,2.2651592155664275,12.523669118564648
3,1,NRV, 3.015x -5.157,0.9999232584410522,0.28139640096618057,0.13368670407004732,0.3656319243037283,0.8893233333333308,3.2084808976811354
4,1,DRRV, 0.736x^2 -0.929x -0.062,0.9999992544307847,0.3599069843924225,0.227085930359501,0.47653534009504583,1.306770334448288,5.450062328628024
4,1,MSV, 1.000x^2 -1.466x -0.394,0.9999997086349179,0.32142562455659124,0.1625194242462404,0.4031369795072643,0.8425192307695397,3.9004661819097697
4,1,NRV, 4.032x -9.497,0.9999335566378579,0.36063689613526684,0.20700984798309127,0.4549833491272964,1.378063333333352,4.96823635159419
5,1,DRRV, 0.736x^2 -0.959x +0.391,0.999999246525554,0.35825271105706236,0.22948389967570904,0.4790447783618031,1.080984615385205,5.507613592217017
